Game_Date,Sport,League_ID,Game_Status,Home_Team,Away_Team,Home_Score_Final,Away_Score_Final,Game_ID
2023-03-12 20:05:00,Baseball,1,Finished,Oakland Athletics,San Diego Padres,,,135946
2023-03-12 20:05:00,Baseball,1,Finished,Kansas City Royals,Cleveland Guardians,,,135947
2023-03-12 20:05:00,Baseball,1,Finished,Cincinnati Reds,Los Angeles Dodgers,,,135949
2023-03-12 20:05:00,Baseball,1,Finished,Chicago White Sox,Los Angeles Angels,,,135950
2023-03-12 20:10:00,Baseball,1,Finished,Arizona Diamondbacks,Colorado Rockies,,,135940
2023-03-12 20:10:00,Baseball,1,Finished,Seattle Mariners,Texas Rangers,,,135943
2023-03-13 17:05:00,Baseball,1,Finished,Washington Nationals,Houston Astros,,,135954
2023-03-13 17:05:00,Baseball,1,Finished,Minnesota Twins,New York Yankees,,,135955
2023-03-13 17:05:00,Baseball,1,Finished,Tampa Bay Rays,Detroit Tigers,,,135958
2023-03-13 17:05:00,Baseball,1,Finished,Baltimore Orioles,Detroit Tigers,,,135959
2023-03-13 17:05:00,Baseball,1,Finished,Atlanta Braves,Baltimore Orioles,,,135964
2023-03-13 17:07:00,Baseball,1,Finished,Toronto Blue Jays,Boston Red Sox,,,135956
2023-03-13 17:10:00,Baseball,1,Finished,Miami Marlins,New York Mets,,,135960
2023-03-13 20:05:00,Baseball,1,Finished,Texas Rangers,Arizona Diamondbacks,,,135957
2023-03-13 20:05:00,Baseball,1,Finished,Cincinnati Reds,Milwaukee Brewers,,,135963
2023-03-13 20:05:00,Baseball,1,Finished,Los Angeles Dodgers,Cleveland Guardians,,,135965
2023-03-13 20:10:00,Baseball,1,Finished,San Diego Padres,San Francisco Giants,,,135953
2023-03-13 20:10:00,Baseball,1,Finished,Los Angeles Angels,Seattle Mariners,,,135961
2023-03-13 20:10:00,Baseball,1,Finished,Colorado Rockies,Oakland Athletics,,,135962
2023-03-14 17:05:00,Baseball,1,Finished,Detroit Tigers,Boston Red Sox,,,135966
2023-03-14 17:05:00,Baseball,1,Finished,Philadelphia Phillies,Atlanta Braves,,,135967
2023-03-14 17:05:00,Baseball,1,Finished,Tampa Bay Rays,Minnesota Twins,,,135970
2023-03-14 17:05:00,Baseball,1,Finished,Pittsburgh Pirates,Baltimore Orioles,,,135972
2023-03-14 17:05:00,Baseball,1,Finished,Minnesota Twins,Pittsburgh Pirates,,,135975
2023-03-14 17:05:00,Baseball,1,Finished,Houston Astros,St.Louis Cardinals,,,135978
2023-03-14 17:10:00,Baseball,1,Finished,New York Mets,Washington Nationals,,,135969
2023-03-14 17:10:00,Baseball,1,Finished,Miami Marlins,Houston Astros,,,135976
2023-03-14 20:05:00,Baseball,1,Finished,Cleveland Guardians,Los Angeles Angels,,,135974
2023-03-14 20:05:00,Baseball,1,Finished,Chicago White Sox,Oakland Athletics,,,135979
2023-03-14 20:10:00,Baseball,1,Finished,Arizona Diamondbacks,San Francisco Giants,,,135968
2023-03-14 20:10:00,Baseball,1,Finished,Seattle Mariners,Kansas City Royals,,,135971
2023-03-14 22:35:00,Baseball,1,Finished,New York Yankees,Toronto Blue Jays,,,135973
2023-03-15 01:05:00,Baseball,1,Finished,Kansas City Royals,Cincinnati Reds,,,135977
2023-03-15 01:05:00,Baseball,1,Finished,Chicago Cubs,Colorado Rockies,,,135980
2023-03-15 17:05:00,Baseball,1,Finished,Atlanta Braves,Houston Astros,,,135982
2023-03-15 17:05:00,Baseball,1,Finished,Boston Red Sox,Tampa Bay Rays,,,135984
2023-03-15 17:05:00,Baseball,1,Finished,New York Yankees,Philadelphia Phillies,,,135988
2023-03-15 17:07:00,Baseball,1,Finished,Toronto Blue Jays,Pittsburgh Pirates,,,135987
2023-03-15 17:10:00,Baseball,1,Finished,New York Mets,St.Louis Cardinals,,,135989
2023-03-15 17:10:00,Baseball,1,Postponed,Miami Marlins,Washington Nationals,,,135990
2023-03-15 20:05:00,Baseball,1,Postponed,Oakland Athletics,Seattle Mariners,,,135983
2023-03-15 20:05:00,Baseball,1,Finished,Texas Rangers,Kansas City Royals,,,135985
2023-03-15 20:05:00,Baseball,1,Cancelled,San Francisco Giants,Chicago White Sox,,,135986
2023-03-15 20:10:00,Baseball,1,Postponed,Arizona Diamondbacks,San Francisco Giants,,,135981
2023-03-16 01:05:00,Baseball,1,Cancelled,Los Angeles Dodgers,Colorado Rockies,,,135991
2023-03-16 01:05:00,Baseball,1,Abandoned,Cincinnati Reds,Chicago Cubs,,,135992
2023-03-16 01:40:00,Baseball,1,Abandoned,Arizona Diamondbacks,Milwaukee Brewers,,,135993
2023-03-16 01:40:00,Baseball,1,Cancelled,San Diego Padres,Cleveland Guardians,,,135994
2023-03-16 17:05:00,Baseball,1,Finished,Tampa Bay Rays,Atlanta Braves,,,135999
2023-03-16 17:05:00,Baseball,1,Finished,St.Louis Cardinals,Houston Astros,,,136000
2023-03-16 17:05:00,Baseball,1,Finished,Minnesota Twins,Tampa Bay Rays,,,136003
2023-03-16 20:05:00,Baseball,1,Finished,Chicago Cubs,Arizona Diamondbacks,,,135995
